Topic,LDA Keywords,NMF Keywords
Topic 1,"cari, kawan, senang, mai, lokasi senang, lokasi, pasal, susah","cari, senang, lokasi, lokasi senang, susah, susah cari, diakses, mai"
Topic 2,"promosi, pengunjung, sosial, disediakan, memuaskan, pendapat promosi, membeli, berjalan","keperluan, komuniti, memenuhi, memenuhi keperluan, keperluan komuniti, komuniti barang, barang, pendapat"
Topic 3,"komuniti, keperluan, ditawarkan, memenuhi, komuniti barang, memenuhi keperluan, barang, keperluan komuniti","promosi, sosial, pengunjung, pendapat promosi, pendapat, dikongsi sosial, dikongsi, senang"
