Topic,LDA Keywords,NMF Keywords
Topic 1,"manfaat, you, budak, menu, budak budak, kena, ambil, norlia","milo, milo milo, laksa, laksa bihun, aneka milo, aneka, jual, jual milo"
Topic 2,"milo, negative, milo milo, syahrul milo, syahrul, next, jumpa, sanggup","budak, budak budak, crowd, menu, lebihkan menu, budak lebihkan, lebihkan, crowd budak"
Topic 3,"komen, three, crowd, berniaga, kawan, bagus, three three, komen komen","three, three three, you, kawan, makan, makan quality, kawan makan, label"
